Counter,Time,Latitude,Longitude,Speed(km/h),Ax,Ay,Az,Gx,Gy,Gz,Yaw
158823,195134,21.78721,39.067482,0,-0.043,-0.196,0.978,0.061,-0.427,-0.129,357.85
158899,195134,21.78721,39.067482,0,-0.032,-0.213,0.984,-0.122,-0.061,-0.007,357.856
159005,195134,21.78721,39.067482,0,-0.031,-0.212,0.964,-0.61,0,-0.007,357.853
159111,195134,21.78721,39.067482,0,-0.032,-0.208,0.982,-0.732,-0.305,-0.007,357.851
159217,195134,21.78721,39.067482,0,-0.042,-0.2,0.984,-0.244,-0.488,-0.007,357.852
159324,195135,21.78721,39.067482,0,-0.038,-0.203,0.98,-0.061,-0.244,-0.068,357.849
159430,195135,21.78721,39.067482,0,-0.029,-0.217,0.976,-0.366,0.061,-0.007,357.847
159536,195135,21.78721,39.067482,0,-0.031,-0.207,0.976,-0.793,0,-0.068,357.846
159642,195135,21.78721,39.067482,0,-0.041,-0.203,0.98,-0.488,-0.488,0.115,357.845
159748,195135,21.78721,39.067482,0,-0.042,-0.198,0.974,0.122,-0.549,-0.068,357.844
159854,195135,21.78721,39.067482,0,-0.031,-0.21,0.979,-0.244,-0.122,-0.007,357.841
159960,195135,21.78721,39.067482,0,-0.023,-0.217,0.979,-0.854,0.305,-0.007,357.83
160066,195135,21.78721,39.067482,0,-0.029,-0.214,0.975,-0.916,-0.061,0.054,357.828
160172,195135,21.78721,39.067482,0,-0.041,-0.21,0.986,-0.427,-0.244,-0.068,357.826
160278,195136,21.78721,39.067482,0,-0.045,-0.197,0.979,-0.061,-0.488,-0.068,357.823
160384,195136,21.78721,39.067482,0,-0.041,-0.199,0.975,-0.061,-0.305,-0.068,357.821
160490,195136,21.78721,39.067482,0,-0.027,-0.219,0.985,-0.427,0.061,0.115,357.824
160596,195136,21.78721,39.067482,0,-0.027,-0.21,0.97,-0.793,0.183,-0.007,357.82
160703,195136,21.78721,39.067482,0,-0.032,-0.209,0.987,-0.793,0.122,-0.007,357.82
