Counter,Time,Latitude,Longitude,Speed(km/h),Ax,Ay,Az,Gx,Gy,Gz,Yaw,Pitch,Roll,acceleration_magnitude,distance
1,1900-01-01 21:46:59.600,21.801945,39.081669,0.0,-142,-50,15962,0,0,0,0.01,-0.01,0.41,0.0,0.0
2,1900-01-01 21:47:07.000,21.801945,39.081665,0.0,112,-64,17094,0,-1,0,0.01,-0.01,0.38,0.0,0.000413
3,1900-01-01 21:47:07.100,21.801945,39.081665,0.0,-44,128,16368,-1,1,1,0.0,0.0,0.34,16368.076368345794,0.0
4,1900-01-01 21:47:07.200,21.801945,39.081665,0.0,0,-188,16198,0,2,0,0.0,0.0,0.31,16368.020650035849,0.0
5,1900-01-01 21:47:07.300,21.801945,39.081665,0.0,62,160,16538,-1,-2,0,-0.0,0.01,0.28,16368.079789639345,0.0
6,1900-01-01 21:47:07.400,21.801945,39.081665,0.0,-92,-26,15992,-1,2,0,-0.0,0.01,0.26,16512.02046994855,0.0
7,1900-01-01 21:47:07.500,21.801945,39.081665,0.0,-56,-188,16512,0,-1,1,-0.0,0.01,0.22,16512.77953586252,0.0
8,1900-01-01 21:47:07.600,21.801945,39.081665,0.0,82,166,16640,-1,-1,0,-0.01,0.02,0.2,16512.02483040769,0.0
9,1900-01-01 21:47:07.700,21.801945,39.081665,0.0,-12,178,16112,-3,3,1,-0.01,0.02,0.18,16512.83876261135,0.0
10,1900-01-01 21:47:07.800,21.801945,39.081665,0.0,112,-74,17098,1,3,0,-0.01,0.03,0.16,16112.859584816099,0.0
11,1900-01-01 21:47:07.900,21.801945,39.081665,0.0,-30,170,15960,-4,2,0,-0.01,0.02,0.14,16112.37996076309,0.0
12,1900-01-01 21:47:08.000,21.801945,39.081665,0.0,-176,-282,16106,-1,0,1,-0.01,0.04,0.12,16106.38357918996,0.0
13,1900-01-01 21:47:08.100,21.801945,39.081665,0.0,282,110,16816,-1,-4,2,-0.01,0.01,0.1,16038.405282321557,0.0
14,1900-01-01 21:47:08.200,21.801945,39.081665,0.0,16,202,15866,-2,-2,0,-0.02,0.02,0.09,16106.500799366695,0.0
15,1900-01-01 21:47:08.300,21.801945,39.081665,0.0,-174,-250,16038,1,-2,0,-0.02,0.08,0.08,16816.253566118703,0.0
16,1900-01-01 21:47:08.400,21.801945,39.081665,0.0,180,-126,16900,1,-3,1,-0.02,0.08,0.07,16122.032254030508,0.0
17,1900-01-01 21:47:08.500,21.801945,39.081665,0.0,88,28,16888,-1,-3,0,-0.03,0.06,0.06,16122.653131541347,0.0
18,1900-01-01 21:47:08.600,21.801945,39.081665,0.0,-72,114,16122,-1,2,0,-0.02,0.08,0.05,16888.116058341144,0.0
19,1900-01-01 21:47:08.700,21.801945,39.081665,0.0,-86,-204,15990,0,-2,1,-0.02,0.08,0.03,16122.073936066663,0.0
20,1900-01-01 21:47:08.800,21.801945,39.081665,0.0,56,40,16890,-1,-3,0,-0.02,0.08,0.03,16122.127154938333,0.0
21,1900-01-01 21:47:08.900,21.801945,39.081665,0.0,-28,170,16122,-4,0,0,-0.02,0.09,0.02,16224.914791763931,0.0
22,1900-01-01 21:47:09.000,21.801945,39.081665,0.0,-50,-192,16224,1,1,0,-0.03,0.08,0.01,16484.102038024394,0.0
23,1900-01-01 21:47:09.100,21.801945,39.081669,0.0,72,-170,16850,0,0,0,-0.03,0.08,0.01,16224.039077862208,0.000413
24,1900-01-01 21:47:09.200,21.801945,39.081669,0.0,42,288,16484,-4,1,0,-0.03,0.09,-0.01,16364.959395000038,0.0
25,1900-01-01 21:47:09.300,21.801945,39.081669,0.0,-90,22,16056,0,2,1,-0.03,0.08,-0.01,16484.053991661152,0.0
26,1900-01-01 21:47:09.400,21.801945,39.081669,0.0,-152,-182,16364,2,-2,1,-0.03,0.09,-0.02,16364.82777177933,0.0
27,1900-01-01 21:47:09.500,21.801945,39.081669,0.0,36,164,16746,-3,-3,1,-0.03,0.1,-0.03,16116.266316985457,0.0
28,1900-01-01 21:47:09.600,21.801945,39.081669,0.0,14,246,15912,-2,2,0,-0.03,0.1,-0.03,16364.28757997121,0.0
29,1900-01-01 21:47:09.700,21.801945,39.081669,0.0,-126,-250,16116,1,-1,0,-0.03,0.1,-0.03,16386.860223972133,0.0
30,1900-01-01 21:47:09.800,21.801945,39.081669,0.0,106,-96,16966,-1,0,-1,-0.03,0.1,-0.03,16116.103375195878,0.0
31,1900-01-01 21:47:09.900,21.801945,39.081669,0.0,42,272,16386,-3,1,0,-0.03,0.1,-0.03,16116.778462211361,0.0
32,1900-01-01 21:47:10.000,21.801945,39.081669,0.0,-182,-56,16006,-1,2,0,-0.03,0.09,-0.03,16386.14951719897,0.0
33,1900-01-01 21:47:10.100,21.801945,39.081669,0.0,-164,-242,16100,0,-1,-1,-0.03,0.1,-0.04,16100.03229810425,0.0
34,1900-01-01 21:47:10.200,21.801945,39.081669,0.0,118,-16,16822,-2,-2,0,-0.03,0.1,-0.04,16100.40794514226,0.0
35,1900-01-01 21:47:10.300,21.801945,39.081669,0.0,-28,232,15974,-3,1,0,-0.03,0.1,-0.04,16482.03154953903,0.0
36,1900-01-01 21:47:10.400,21.801945,39.081669,0.0,-100,-296,16482,1,-2,0,-0.03,0.1,-0.06,16482.635468880577,0.0
37,1900-01-01 21:47:10.500,21.801945,39.081669,0.0,4,142,16640,-1,-2,0,-0.03,0.1,-0.06,15976.743723299815,0.0
38,1900-01-01 21:47:10.600,21.801945,39.081669,0.0,-60,190,15976,-2,1,0,-0.03,0.1,-0.05,16482.77367435469,0.0
39,1900-01-01 21:47:10.700,21.801945,39.081669,0.0,-70,-162,15940,-1,1,0,-0.03,0.1,-0.06,16558.632552236915,0.0
40,1900-01-01 21:47:10.800,21.801945,39.081669,0.0,12,-148,16970,0,1,0,-0.04,0.1,-0.06,15976.112668606214,0.0
41,1900-01-01 21:47:10.900,21.801945,39.081669,0.0,-28,302,16558,-2,0,0,-0.04,0.11,-0.06,16556.770216440163,0.0
42,1900-01-01 21:47:11.000,21.801945,39.081669,0.0,-82,0,15920,0,2,0,-0.04,0.1,-0.06,16558.023674339882,0.0
43,1900-01-01 21:47:11.100,21.801945,39.081669,0.0,-60,-224,16556,2,-1,1,-0.04,0.1,-0.06,16556.4441834592,0.0
44,1900-01-01 21:47:11.200,21.801945,39.081669,0.0,28,118,16790,-2,-2,1,-0.05,0.11,-0.07,15958.112795691099,0.0
45,1900-01-01 21:47:11.300,21.801945,39.081669,0.0,10,150,15958,-2,2,1,-0.05,0.1,-0.06,16556.36844238494,0.0
46,1900-01-01 21:47:11.400,21.801945,39.081669,0.0,-194,-250,15862,0,-1,0,-0.05,0.11,-0.06,16494.4458530743,0.0
47,1900-01-01 21:47:11.500,21.801945,39.081669,0.0,76,-110,16856,-1,0,1,-0.05,0.11,-0.08,16410.54465884664,0.0
48,1900-01-01 21:47:11.600,21.801945,39.081669,0.0,292,312,16494,-4,1,-1,-0.05,0.11,-0.08,16495.135525360198,0.0
49,1900-01-01 21:47:11.700,21.801945,39.081669,0.0,98,-178,16410,2,3,0,-0.05,0.09,-0.08,16552.539986358588,0.0
50,1900-01-01 21:47:11.800,21.801945,39.081669,0.0,-134,-286,16552,-2,-7,2,-0.05,0.1,-0.08,16494.11664806576,0.0
51,1900-01-01 21:47:11.900,21.801945,39.081669,0.0,62,384,16632,-3,-2,0,-0.05,0.13,-0.1,16534.970214669273,0.0
52,1900-01-01 21:47:12.000,21.801945,39.081669,0.0,-202,-2,16140,0,0,0,-0.06,0.13,-0.08,16552.1238516391,0.0
53,1900-01-01 21:47:12.100,21.801945,39.081669,0.0,20,-292,16534,0,-2,-1,-0.06,0.14,-0.1,16534.016450941373,0.0
54,1900-01-01 21:47:12.200,21.801945,39.081669,0.0,-64,236,16602,-2,-5,1,-0.06,0.15,-0.1,16396.012320073438,0.0
55,1900-01-01 21:47:12.300,21.801945,39.081669,0.0,100,12,15902,-2,1,1,-0.06,0.14,-0.08,16396.309340824235,0.0
56,1900-01-01 21:47:12.400,21.801945,39.081669,0.0,388,-292,16396,-2,-8,1,-0.06,0.09,-0.09,16359.353165696986,0.0
57,1900-01-01 21:47:12.500,21.801945,39.081669,0.0,682,218,16356,-2,-1,-1,-0.06,-0.04,-0.09,16360.605856752372,0.0
58,1900-01-01 21:47:12.600,21.801945,39.081669,0.0,328,46,15720,-1,0,-1,-0.06,-0.21,-0.08,16365.108860010678,0.0
59,1900-01-01 21:47:12.700,21.801945,39.081669,0.0,568,-230,16638,1,-4,1,-0.06,-0.31,-0.08,16137.237557896953,0.0
