Counter,Time,Latitude,Longitude,Speed(km/h),Ax,Ay,Az,Gx,Gy,Gz,Yaw,Pitch,Roll,acceleration_magnitude,distance
1,1900-01-01 19:33:50.900,21.78776,39.069176,0.46,-122,-90,16068,-4,2,1,0.01,-0.01,0.4,0.0,0.0
2,1900-01-01 19:33:51.000,21.78776,39.069176,0.81,-52,-98,16342,-5,3,1,0.01,-0.02,0.36,0.0,0.0
3,1900-01-01 19:33:51.100,21.787758,39.069172,0.39,76,152,15986,-2,5,1,0.0,-0.02,0.33,16342.612153508386,0.000469
4,1900-01-01 19:33:51.200,21.787756,39.069172,0.42,-102,-166,16354,-2,0,0,0.01,-0.02,0.29,16342.376571355831,0.000222
5,1900-01-01 19:33:51.300,21.787754,39.069168,0.22,-122,-130,16490,0,-2,-1,0.01,-0.02,0.27,16308.436589691852,0.000469
6,1900-01-01 19:33:51.400,21.787754,39.069168,0.14,78,92,16308,2,-5,-1,0.01,-0.01,0.24,16308.18959909407,0.0
7,1900-01-01 19:33:51.500,21.787752,39.069164,0.26,308,160,16106,0,-1,0,0.01,-0.02,0.2,16109.028648556065,0.000469
8,1900-01-01 19:33:51.700,21.787752,39.069164,0.67,906,10,15672,4,9,0,0.01,-0.34,0.18,16119.356562840838,0.0
9,1900-01-01 19:33:51.800,21.787752,39.069164,0.4,654,52,16052,-3,5,0,0.01,-0.59,0.18,16128.392480343477,0.0
10,1900-01-01 19:33:51.900,21.78775,39.06916,0.52,848,-212,17014,0,-1,0,0.01,-0.76,0.18,16251.357358694688,0.000469
11,1900-01-01 19:33:52.000,21.78775,39.06916,0.32,1092,144,16226,3,1,0,0.0,-0.99,0.18,16289.234481706008,0.0
12,1900-01-01 19:33:52.100,21.78775,39.06916,0.34,1132,174,16262,6,1,2,-0.0,-1.2,0.2,16289.543885572733,0.0
13,1900-01-01 19:33:52.300,21.787752,39.06916,0.39,940,54,16502,4,-4,1,-0.02,-1.45,0.24,16263.07338727831,0.000222
14,1900-01-01 19:33:52.400,21.787752,39.06916,0.41,918,114,16096,4,-1,2,-0.02,-1.58,0.25,16289.543885572733,0.0
15,1900-01-01 19:33:52.500,21.787752,39.06916,0.56,1088,302,16118,1,4,3,-0.04,-1.71,0.27,16527.89375570886,0.0
16,1900-01-01 19:33:52.600,21.787754,39.06916,0.54,874,72,16670,7,-2,4,-0.06,-1.85,0.29,16198.421281100205,0.000222
17,1900-01-01 19:33:52.700,21.787754,39.06916,0.66,922,-98,16792,6,5,1,-0.08,-1.92,0.29,16234.65835796984,0.0
18,1900-01-01 19:33:52.800,21.787754,39.06916,0.69,1106,48,16172,2,7,5,-0.09,-2.06,0.28,16295.445498666184,0.0
19,1900-01-01 19:33:53.000,21.787754,39.06916,1.06,1148,250,16198,2,-2,8,-0.13,-2.21,0.28,16240.627204637141,0.0
20,1900-01-01 19:33:53.100,21.787756,39.06916,0.98,978,16,16266,5,-3,7,-0.21,-2.38,0.3,16240.690256266818,0.000222
21,1900-01-01 19:33:53.200,21.787756,39.06916,1.12,1090,-96,16204,-3,-11,5,-0.24,-2.44,0.3,16240.965242250844,0.0
22,1900-01-01 19:33:53.300,21.787756,39.06916,1.49,972,106,16502,22,-20,8,-0.27,-2.45,0.28,16302.824663229376,0.0
23,1900-01-01 19:33:53.400,21.787756,39.06916,1.3,1710,308,16056,0,-2,17,-0.34,-2.57,0.35,16405.157481718972,0.0
24,1900-01-01 19:33:53.500,21.787758,39.06916,1.7,1666,214,16600,-13,-8,11,-0.44,-2.76,0.46,16409.684213902474,0.000222
25,1900-01-01 19:33:53.600,21.787758,39.06916,1.83,2100,-66,16320,-9,-7,11,-0.49,-3.04,0.4,16321.846709242187,0.0
26,1900-01-01 19:33:53.700,21.78776,39.06916,1.81,2436,78,16186,0,-7,23,-0.61,-3.36,0.26,16500.987243192452,0.000222
27,1900-01-01 19:33:53.800,21.78776,39.06916,2.26,2650,-32,15732,2,-12,24,-0.76,-3.76,0.24,16401.56126714771,0.0
28,1900-01-01 19:33:53.900,21.78776,39.06916,2.27,3334,264,17620,0,20,29,-0.94,-4.33,0.3,16447.819429942683,0.0
29,1900-01-01 19:33:54.000,21.787762,39.06916,2.33,3056,46,16108,-20,33,33,-1.12,-4.85,0.29,16837.714096634376,0.000222
30,1900-01-01 19:33:54.100,21.787762,39.06916,2.45,2922,480,17210,-30,38,34,-1.35,-5.54,0.21,16837.714096634376,0.0
31,1900-01-01 19:33:54.200,21.787762,39.06916,2.59,3062,-682,16558,-4,5,34,-1.61,-6.17,0.01,16837.714096634376,0.0
32,1900-01-01 19:33:54.400,21.787762,39.069164,1.83,3018,-560,15280,9,-1,35,-1.81,-6.66,-0.12,16839.10056980479,0.000413
33,1900-01-01 19:33:54.500,21.787762,39.069164,2.12,3720,110,16884,25,20,37,-2.03,-7.09,-0.02,16971.089063463194,0.0
34,1900-01-01 19:33:54.600,21.787762,39.069164,2.05,4468,140,16360,7,17,45,-2.27,-7.61,0.14,17372.199054811685,0.0
35,1900-01-01 19:33:54.700,21.787762,39.069164,2.13,4088,742,16912,-7,-3,42,-2.52,-8.12,0.28,17465.525471625526,0.0
36,1900-01-01 19:33:54.800,21.787762,39.069164,2.79,4534,-550,18670,17,5,41,-2.92,-8.86,0.22,17282.057863576316,0.0
37,1900-01-01 19:33:54.900,21.787762,39.069164,3.1,4772,-916,16688,18,6,45,-3.17,-9.3,0.19,17187.735278389646,0.0
38,1900-01-01 19:33:55.000,21.787762,39.069164,3.24,2676,-466,14670,-7,-12,48,-3.45,-9.57,0.27,15070.984705718469,0.0
39,1900-01-01 19:33:55.100,21.78776,39.069168,3.97,2690,154,14118,-7,34,43,-3.8,-9.85,0.36,15065.819459956369,0.000469
40,1900-01-01 19:33:55.200,21.78776,39.069168,4.66,2936,-960,14772,-36,-25,35,-4.11,-10.02,0.34,15059.398261550825,0.0
41,1900-01-01 19:33:55.399,21.787758,39.069168,6.72,2924,234,15626,-24,28,29,-4.43,-10.18,0.33,15888.138594561668,0.000222
42,1900-01-01 19:33:55.499,21.787756,39.069172,6.42,3686,472,15616,12,-15,18,-4.58,-10.36,0.38,15899.189539092866,0.000469
43,1900-01-01 19:33:55.599,21.787754,39.069172,7.71,2418,-256,15624,28,-22,8,-4.63,-10.48,0.45,15896.977951799518,0.000222
44,1900-01-01 19:33:55.699,21.787754,39.069176,10.19,3456,966,16840,-11,-4,12,-4.7,-10.53,0.61,15884.982593632263,0.000413
45,1900-01-01 19:33:55.799,21.787743,39.069187,12.02,2126,200,14964,-39,-8,15,-4.94,-10.01,0.38,15892.84719614456,0.001669
46,1900-01-01 19:33:55.999,21.787739,39.069195,12.2,2904,-72,14920,-5,-10,11,-5.14,-10.08,0.06,16583.470444994316,0.000938
47,1900-01-01 19:33:56.199,21.787733,39.069199,12.37,3132,262,18782,-13,16,6,-5.29,-10.14,-0.09,16448.67532660305,0.000785
48,1900-01-01 19:33:56.500,21.787724,39.069206,13.95,2148,98,16326,28,6,21,-5.47,-10.04,-0.21,16623.864893579954,0.001234
49,1900-01-01 19:33:56.700,21.787716,39.069214,16.08,3370,-980,16190,-17,-19,2,-5.72,-10.41,-0.31,16635.94734302799,0.001214
50,1900-01-01 19:33:56.900,21.787708,39.069221,17.1,3134,-638,17302,6,7,12,-5.68,-9.73,-0.41,16460.75210918383,0.001146
51,1900-01-01 19:33:57.200,21.787697,39.069233,19.47,2904,-1310,15296,-13,-23,12,-5.93,-9.99,-0.42,16439.11445303548,0.001741
52,1900-01-01 19:33:57.400,21.787689,39.069244,21.32,1762,-408,15102,21,-6,11,-5.97,-9.68,-0.41,16430.383562169205,0.001443
