Counter,Time,Latitude,Longitude,Speed(km/h),Ax,Ay,Az,Gx,Gy,Gz,Yaw,Pitch,Roll,acceleration_magnitude,distance
1,1900-01-01 19:27:25.500,21.787792,39.069153,0.0,86,100,16456,2,-1,0,0.01,-0.02,0.42,0.0,0.0
2,1900-01-01 19:27:33.000,21.787788,39.069153,0.0,42,58,16776,3,0,0,0.01,-0.01,0.37,0.0,0.000445
3,1900-01-01 19:27:33.200,21.787788,39.069153,0.0,-96,-116,16700,-2,2,0,0.01,-0.01,0.33,16696.38547710252,0.0
4,1900-01-01 19:27:33.300,21.787788,39.069153,0.0,186,226,16118,-1,-1,0,0.01,-0.01,0.27,16696.38547710252,0.0
5,1900-01-01 19:27:33.500,21.787788,39.069153,0.0,74,86,16696,2,-1,1,0.01,-0.01,0.23,16642.386727870497,0.0
6,1900-01-01 19:27:33.700,21.787788,39.069153,0.0,126,152,16642,4,-1,0,0.01,0.01,0.18,16634.414687628778,0.0
7,1900-01-01 19:27:33.800,21.787788,39.069153,0.0,-214,-128,16634,-3,4,0,0.01,0.01,0.15,16634.228205720876,0.0
8,1900-01-01 19:27:34.000,21.787788,39.069153,0.0,80,-80,15692,-3,5,0,0.01,0.01,0.12,16634.03847536731,0.0
9,1900-01-01 19:27:34.100,21.787788,39.069153,0.0,16,46,16580,0,-2,0,0.01,0.01,0.09,16580.200722548565,0.0
10,1900-01-01 19:27:34.300,21.787788,39.069153,0.0,-46,-32,16786,1,3,0,0.01,0.02,0.06,16110.230414242995,0.0
11,1900-01-01 19:27:34.500,21.787788,39.069153,0.0,202,-110,16110,-2,5,0,0.01,0.02,0.04,16111.276423672954,0.0
12,1900-01-01 19:27:34.600,21.787788,39.069153,0.0,850,38,15782,-3,11,-1,0.01,-0.16,0.03,16132.440113014522,0.0
13,1900-01-01 19:27:34.800,21.787788,39.069153,0.0,858,-18,15906,-7,1,3,0.01,-0.57,0.01,16122.432322698707,0.0
14,1900-01-01 19:27:34.900,21.787788,39.069153,0.0,1000,-96,16732,3,1,-1,-0.01,-0.94,0.01,15983.047268903387,0.0
15,1900-01-01 19:27:35.100,21.787788,39.069153,0.0,834,-6,16100,-1,-2,5,-0.03,-1.3,0.01,16122.8471431072,0.0
16,1900-01-01 19:27:35.300,21.787788,39.069153,0.0,932,62,15960,-2,-2,3,-0.05,-1.5,0.06,16481.231750084702,0.0
17,1900-01-01 19:27:35.400,21.787788,39.069153,0.0,688,62,16460,-1,-1,4,-0.08,-1.62,0.07,16423.306731593366,0.0
18,1900-01-01 19:27:35.600,21.787788,39.069153,0.0,596,144,16574,-9,-3,4,-0.13,-1.73,0.08,16422.00694190573,0.0
19,1900-01-01 19:27:35.800,21.787788,39.069153,0.0,864,-10,16402,-2,2,2,-0.18,-1.85,0.02,16479.936529003986,0.0
20,1900-01-01 19:27:36.000,21.787788,39.069153,0.0,808,-260,15532,-6,7,6,-0.21,-2.04,-0.01,16424.740485012237,0.0
21,1900-01-01 19:27:36.100,21.787788,39.069153,0.0,1358,186,16722,4,8,2,-0.26,-2.44,-0.02,16232.903005932118,0.0
22,1900-01-01 19:27:36.300,21.787788,39.069153,0.0,1480,0,16176,-4,-9,10,-0.33,-2.92,-0.05,16189.057662507723,0.0
23,1900-01-01 19:27:36.500,21.787788,39.069153,0.0,1544,68,16132,-19,-6,16,-0.49,-3.09,-0.08,16243.564140914395,0.0
24,1900-01-01 19:27:36.700,21.787788,39.069153,0.0,1266,-516,15782,2,3,18,-0.71,-3.28,-0.29,16243.576453478465,0.0
25,1900-01-01 19:27:36.900,21.787788,39.069153,0.0,1880,-20,17388,30,-17,21,-0.88,-3.4,-0.25,16223.483966152276,0.0
26,1900-01-01 19:27:37.000,21.787788,39.069153,0.0,490,-30,16352,-19,19,30,-1.19,-3.47,-0.03,16400.94692388217,0.0
27,1900-01-01 19:27:37.200,21.787788,39.069153,0.0,1134,-4,16174,6,15,27,-1.57,-3.81,-0.12,16404.721881214566,0.0
28,1900-01-01 19:27:37.500,21.787785,39.069153,5.81,1896,300,16482,3,25,24,-1.92,-4.28,-0.11,16257.6252878457,0.000334
29,1900-01-01 19:27:37.700,21.787783,39.069157,5.89,1314,-914,16218,-44,-36,23,-2.43,-4.51,-0.35,16213.705560420172,0.000469
30,1900-01-01 19:27:38.000,21.787779,39.06916,6.45,1046,-458,15084,58,-30,26,-2.89,-4.38,-0.66,16211.680850547238,0.000542
31,1900-01-01 19:27:38.300,21.787775,39.069164,6.98,264,286,16132,-17,-32,17,-3.19,-3.84,0.48,16167.455458420165,0.000607
