Counter,Time,Latitude,Longitude,Speed(km/h),Ax,Ay,Az,Gx,Gy,Gz,Yaw,Pitch,Roll,acceleration_magnitude,distance
1,1900-01-01 11:10:02.300,21.498224,39.244835,0.0,-12,20,16746,-1,-13,1,0.0,-0.01,0.41,0.0,0.0
2,1900-01-01 11:10:02.400,21.498224,39.244835,0.0,-82,68,16818,-1,-16,-1,0.01,-0.01,0.36,0.0,0.0
3,1900-01-01 11:10:02.500,21.498224,39.244835,0.0,182,136,16022,2,3,0,0.0,-0.01,0.33,16576.14382176989,0.0
4,1900-01-01 11:10:02.600,21.498224,39.244835,0.0,-226,-30,16430,0,5,0,0.01,-0.01,0.31,16576.259771130517,0.0
5,1900-01-01 11:10:02.700,21.498224,39.244835,0.0,36,126,16576,-1,6,0,0.01,-0.02,0.3,16576.204269976886,0.0
6,1900-01-01 11:10:02.800,21.498224,39.244835,0.0,-56,74,16702,-1,7,-1,0.01,-0.02,0.27,16576.204269976886,0.0
7,1900-01-01 11:10:02.900,21.498224,39.244835,0.0,-36,4,16736,-1,-8,-1,0.01,-0.03,0.24,16576.39092203125,0.0
8,1900-01-01 11:10:03.000,21.498224,39.244835,0.0,102,148,16524,0,-25,0,0.01,-0.03,0.22,16524.173443776242,0.0
9,1900-01-01 11:10:03.100,21.498224,39.244835,0.0,110,108,16416,0,-27,0,0.01,-0.03,0.2,16416.008284598298,0.0
10,1900-01-01 11:10:03.300,21.498224,39.244835,0.0,16,-46,15764,3,21,0,0.01,-0.04,0.18,16416.288496490306,0.0
11,1900-01-01 11:10:03.400,21.498224,39.244835,0.0,-98,-30,16272,0,18,0,0.01,-0.03,0.17,16416.288496490306,0.0
12,1900-01-01 11:10:03.500,21.498224,39.244835,0.0,-8,96,16634,-3,11,1,0.01,-0.03,0.16,16272.194812009842,0.0
13,1900-01-01 11:10:03.600,21.498224,39.244835,0.0,108,158,16544,-2,-34,0,0.01,-0.03,0.14,16272.18891237439,0.0
14,1900-01-01 11:10:03.700,21.498224,39.244835,0.0,228,78,15942,2,16,0,0.01,-0.04,0.13,16332.188218361924,0.0
15,1900-01-01 11:10:03.800,21.498224,39.244835,0.0,-212,-182,16012,1,29,0,0.01,-0.04,0.12,16328.543474541751,0.0
